CheckpointID,SimulationID,Zone,Date,Year,DOY,StageName,Stage,Rain,Radn,MaxT,MinT,ThermalTime,Yieldkgha,FracGrowthRate,NutrientStress,TempStress,WaterStress,SimulationName,id_trial
1,1,Field,1991-08-23 12:00:00,1991,235,EarlyGrainFilling,6.740378539918684,5.840000152587891,12.539346694946289,29.8700008392334,16.209999084472656,13.039999961853027,786.4262576225564,1,1,1,0.6418906756323617,Simulation,2
1,1,Field,1991-08-24 12:00:00,1991,236,EarlyGrainFilling,6.795127649116052,18.579999923706055,12.30811882019043,32.15999984741211,18.299999237060547,14.232140434074402,845.7933787501992,1,1,1,0.8251556743907925,Simulation,2
1,1,Field,1991-08-25 12:00:00,1991,237,EarlyGrainFilling,6.852585831274427,0,15.027531623840332,32.9900016784668,20.31999969482422,14.936369368433951,908.4785654861458,1,1,1,0.710685222557967,Simulation,2
1,1,Field,1991-08-26 12:00:00,1991,238,EarlyGrainFilling,6.903618022127617,0,17.33090591430664,35.93000030517578,19.739999771118164,13.265920076668262,962.7557948171876,1,1,1,0.5304480739815841,Simulation,2
1,1,Field,1991-08-27 12:00:00,1991,239,EarlyGrainFilling,6.9566047351387,0,16.337350845336914,35.33000183105469,20.309999465942383,13.774002020657061,1015.1877827782345,1,1,1,0.5396564550552763,Simulation,2
1,1,Field,1991-08-28 12:00:00,1991,240,MidGrainFilling,7.0132055871301375,0,15.867552757263184,36.25,21.299999237060547,13.631597334480285,1088.124988921651,1,1,1,0.5104757623821641,Simulation,2
1,1,Field,1991-08-29 12:00:00,1991,241,MidGrainFilling,7.089569147511458,0,16.248796463012695,35.66999816894531,20.280000686645508,13.594546473324298,1161.6558760830455,1,1,1,0.47602613482669104,Simulation,2
1,1,Field,1991-08-30 12:00:00,1991,242,MidGrainFilling,7.159229655015935,0,18.64386749267578,32.099998474121094,14.25,12.401242187976836,1229.3934011244276,1,1,1,0.42671520883960007,Simulation,2
1,1,Field,1991-08-31 12:00:00,1991,243,MidGrainFilling,7.212883322236026,0,19.50921630859375,27.309999465942383,8.8100004196167,9.551640453189611,1282.0707954694362,0.8059999942779541,1,0.8059999942779541,0.43791269540954897,Simulation,2
1,1,Field,1991-09-01 12:00:00,1991,244,MidGrainFilling,7.277280027858794,0,18.73177146911621,30.1200008392334,11.890000343322754,11.464159121787548,1345.7930183751112,1,1,1,0.42218027147295917,Simulation,2
1,1,Field,1991-09-02 12:00:00,1991,245,MidGrainFilling,7.350681661889439,23.040000915527344,12.820714950561523,32.97999954223633,16.110000610351563,13.067252496671674,1419.0531660085571,1,1,1,0.7304641834170957,Simulation,2
1,1,Field,1991-09-03 12:00:00,1991,246,MidGrainFilling,7.400020700477301,0,15.977702140808105,24.850000381469727,10.880000114440918,8.783533005565406,1468.7891572182368,0.7865000247955323,1,0.7865000247955323,0.8090324203073699,Simulation,2
1,1,Field,1991-09-04 12:00:00,1991,247,MidGrainFilling,7.451850281151334,0,18.86024284362793,26.90999984741211,7.96999979019165,9.226909269914032,1521.6120772366112,0.743999981880188,1,0.743999981880188,0.6372588035396558,Simulation,2
